Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Mean_Body_Temp_°C_,IFN-y,Group_8C vs Group_15C (Reference),-5.502138723096878,0.017383312681141898,-10.036089120389736,-0.9681883258040189,0.13807260415620215,-0.04149560331125568,4.364320064043866,0.01082029004774269,-4.197307091667442,0.6961249385561372,-1.1378186590530115,0.46438433047031147,0.8249172017778246,False
Muscle_Temp2_°C_,IL-20,Group_8C vs Group_22C Contrast,21.647523365684282,0.019493663662150235,3.4840003022982096,39.81104642907036,0.3684255166474395,0.23684749928232274,-14.571372650664589,0.0012863114815274176,-14.527807432919499,0.09475384630497397,7.119715932764784,0.02636086638800217,0.8479743693035352,False
Muscle_Temp1_°C_,TSLP,Group_22C vs Group_15C (Reference),-8.750961780440315,0.026919957975821144,-16.502465475342877,-0.9994580855377544,0.18452336369674271,0.014632397800230845,-0.1406314162795695,0.963155507271565,-8.891593196719885,0.00042819969194485274,1.6888252919740663,0.7717981499327264,0.9983944120778494,False
Core_Temp_°C_,sTNF-R1,Group_8C vs Group_15C (Reference),-440.59354887783456,0.03638541030985272,-853.2619771012683,-27.925120654400928,0.2999511860208375,0.15410768310851197,186.708418083856,4.508931208254485e-09,-135.94849234012608,0.27473512331945615,-253.88513079397856,0.2225211893490191,0.9983944120778494,False
Core_Temp_°C_,gp130_per_sIL-6Rb,Group_22C vs Group_15C (Reference),-12248.914366118082,0.04272135492113174,-24096.104865599442,-401.72386663672296,0.37803007431057345,0.24845300645860968,3865.84364180521,0.26637399380390747,-8383.070724312873,0.08993559350325331,-17812.797445547025,0.00041132907112229056,0.9983944120778494,False
Muscle_Temp1_°C_,IL-20,Group_8C vs Group_22C Contrast,18.058228139758295,0.057160049044859565,-0.5498403719679921,36.666296651484586,0.26628445247584887,0.11342704674165072,-3.3816980362106692,0.7252758706526734,-11.702030324396596,0.20272182593743104,6.356197815361701,0.007996022913858036,0.9983944120778494,False
Core_Temp_°C_,Chitinase_3-like1,Group_8C vs Group_15C (Reference),-2376.697144969715,0.05971736063789306,-4850.701914948324,97.30762500889387,0.3075492803901444,0.16328871380475785,1640.1475160574516,0.14760648663677814,-760.6603833865845,0.20318198150534683,-736.5496289122632,0.186149655639547,0.9983944120778494,False
Core_Temp_°C_,Chitinase_3-like1,Group_22C vs Group_15C (Reference),-2400.807899444036,0.060851064911807674,-4910.973818302929,109.35801941485715,0.3075492803901444,0.16328871380475785,1640.1475160574516,0.14760648663677814,-760.6603833865845,0.20318198150534683,-736.5496289122632,0.186149655639547,0.9983944120778494,False
Core_Temp_°C_,IFN-y,Group_8C vs Group_15C (Reference),-11.942140250439099,0.06085722417920888,-24.428549022963416,0.5442685220852184,0.1391125094801008,-0.04023905104487824,5.50299084092578,0.00259919853600422,-2.666884680716321,0.9034242193632172,-6.439149409513319,0.29139308227857397,0.9983944120778494,False
Core_Temp_°C_,sIL-6Ra,Group_8C vs Group_15C (Reference),-2609.094745974656,0.06769869468321173,-5408.061208868492,189.87171691918093,0.2047077402925066,0.039021852853445504,1296.253750085243,0.1368003630199051,-656.8399511178993,0.5566357454787925,-1312.8409958894129,0.24594410463742622,0.9983944120778494,False
