TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X2hrs,.,22°C - 8°C,0.7761762004000001,0.6410858638813889,27.0,1.210721128213186,0.23649426976931004,Between-Group,Serine,0.9583024215269884,False
.,15°C,X10min - X2hrs,0.49787140409999725,0.6188644547757652,27.0,0.8044918402695987,0.42814026567280994,Within-Group,Serine,0.974695460966868,False
.,22°C,X10min - X2hrs,-1.156208926800001,0.6188644547757651,27.0,-1.8682748990955274,0.07261174914318004,Within-Group,Serine,0.791489245095708,False
.,8°C,X10min - X2hrs,0.1271501070999979,0.6188644547757651,27.0,0.20545711765925959,0.8387562032818651,Within-Group,Serine,0.9995801204593276,False
X10min,.,15°C - 22°C,0.728722331099999,0.611581783489208,27.0,1.1915370123395084,0.24381178765264788,Between-Group,Stearic Acid,0.9583024215269884,False
X10min,.,15°C - 8°C,-0.043130053000001,0.611581783489208,27.0,-0.07052213483850779,0.9442978425664339,Between-Group,Stearic Acid,0.9995801204593276,False
X10min,.,22°C - 8°C,-0.7718523840999999,0.611581783489208,27.0,-1.262059147178016,0.2177209697639096,Between-Group,Stearic Acid,0.9583024215269884,False
X2hrs,.,15°C - 22°C,0.09618627369999962,0.1594372197448693,27.0,0.6032861953684118,0.5513530818508301,Between-Group,Stearic Acid,0.9979364913093677,False
X2hrs,.,15°C - 8°C,0.2648499316999995,0.1594372197448693,27.0,1.6611549807743207,0.10825232334755079,Between-Group,Stearic Acid,0.8239637885635016,False
X2hrs,.,22°C - 8°C,0.16866365799999986,0.1594372197448693,27.0,1.0578687854059088,0.29948849650585474,Between-Group,Stearic Acid,0.9587581238028823,False
.,15°C,X10min - X2hrs,0.14959892719999915,0.44636821139338456,27.0,0.33514691096171617,0.7401042999727755,Within-Group,Stearic Acid,0.9995801204593276,False
.,22°C,X10min - X2hrs,-0.4829371302000002,0.44636821139338456,27.0,-1.0819254549791124,0.2888543693474339,Within-Group,Stearic Acid,0.9587581238028823,False
.,8°C,X10min - X2hrs,0.4575789118999996,0.44636821139338456,27.0,1.0251153648948694,0.31440592184323823,Within-Group,Stearic Acid,0.9587581238028823,False
X10min,.,15°C - 22°C,0.9750340927000005,0.627951103265518,27.0,1.5527229550669723,0.13213363999597097,Between-Group,Threonine,0.8614386993847227,False
X10min,.,15°C - 8°C,0.38014127850000057,0.6279511032655181,27.0,0.6053676417210856,0.5499897725899365,Between-Group,Threonine,0.9979364913093677,False
X10min,.,22°C - 8°C,-0.5948928141999998,0.6279511032655181,27.0,-0.9473553133458863,0.3518601553219953,Between-Group,Threonine,0.9587581238028823,False
X2hrs,.,15°C - 22°C,-0.49179072250000055,0.6520133133564998,27.0,-0.7542648477042757,0.4572186330417142,Between-Group,Threonine,0.9748246327115793,False
X2hrs,.,15°C - 8°C,0.24835872409999943,0.6520133133564999,27.0,0.38091051058677516,0.7062503926502799,Between-Group,Threonine,0.9995801204593276,False
X2hrs,.,22°C - 8°C,0.7401494465999999,0.6520133133564999,27.0,1.1351753582910507,0.26627899845071307,Between-Group,Threonine,0.9587581238028823,False
.,15°C,X10min - X2hrs,0.39796492240000214,0.6145707059471275,27.0,0.6475494496384924,0.5227447921127149,Within-Group,Threonine,0.9979364913093677,False
.,22°C,X10min - X2hrs,-1.0688598927999988,0.6145707059471275,27.0,-1.7391975934693422,0.09339106136822513,Within-Group,Threonine,0.791489245095708,False
