Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Mean_Body_Temp_°C_,"2,3,4-Trihydroxybutyric_acid",Group_8C vs Group_15C (Reference),-8.27963659153494,0.03931645829983209,-16.153919401487936,-0.405353781581943,0.22538019203180182,0.06400106537176053,3.147345028451425,0.33938235127462835,5.168206727193364,0.4637022751719051,-5.132291563083515,0.025628971162585,0.9985735007953371,False
Muscle_Temp3_°C_,"1,5-Anhydrohexitol",Group_8C vs Group_15C (Reference),5.009160080905848,0.04041049627715285,0.21889981476872666,9.799420347042968,0.2326296485513013,0.07276082533282247,-1.8132340645250904,0.2919275546969242,0.9809083696696861,0.245967178827168,3.1959260163807572,0.06560817770899519,0.9985735007953371,False
Core_Temp_°C_,"Ethanolamine,_2TMS",Group_8C vs Group_15C (Reference),11.556325984867467,0.04105059851728487,0.4697979890703685,22.642853980664565,0.3771268244942717,0.24736157959724503,-14.975155343498644,4.135659382904199e-50,-0.6697671890077981,0.8590240030996508,-3.418829358631177,0.539082725073682,0.9985735007953371,False
Muscle_Temp1_°C_,beta-D-Xylopyranose,Group_22C vs Group_15C (Reference),-3.509230999778066,0.041921671489393096,-6.890235236546944,-0.12822676300918845,0.26869492452635746,0.1163397004693486,2.5087541539781437,3.2311979548699906e-09,-1.0004768457999225,0.5496304055604877,0.13631025207933778,0.8857763935704943,0.9985735007953371,False
Mean_Skin_Temp_°C_,N-Acetylglutamine,Group_22C vs Group_15C (Reference),3.7507385639670745,0.04247583388825963,0.12731002881729703,7.3741670991168515,0.3377661534008717,0.19980076869272,-1.7930721195805122,0.2784659278907715,1.9576664443865623,0.017636410978608685,-1.5980071904097775,0.007292003527406665,0.9985735007953371,False
Mean_Body_Temp_°C_,Methyl_galactoside,Group_8C vs Group_22C Contrast,-7.03274115469028,0.04372379441141919,-13.86765659298109,-0.19782571639946944,0.24476092543818873,0.08741945157114472,2.5923078149670635,0.37540476750102625,3.2265052645469843,0.07263488166828891,-3.806235890143295,0.20276706314085358,0.9985735007953371,False
Muscle_Temp1_°C_,Lactic_Acid,Group_8C vs Group_15C (Reference),4.544761692990756,0.04570158103495447,0.08682920631889157,9.002694179662619,0.322237739613602,0.18103726869976922,-1.2774803930418546,0.07036981584351037,0.07751764751818846,0.9583359637079272,3.267281299948901,0.1307580540779556,0.9985735007953371,False
Muscle_Temp3_°C_,Proline,Group_8C vs Group_22C Contrast,-1.7331945606697468,0.045787935384323485,-3.4339847311537564,-0.03240439018573715,0.11574529986526505,-0.06847442932947123,0.8501550435121493,0.3661607806916345,1.1923604723396086,0.11828634447731035,-0.5408340883301382,0.18998661083526547,0.9985735007953371,False
Mean_Body_Temp_°C_,Glutamine_[-H2O],Group_22C vs Group_15C (Reference),-3.554998342605441,0.04623942759188413,-7.05071616896202,-0.05928051624886166,0.34395572463721624,0.2072798339366363,0.41880405033750845,0.700381648227772,-3.1361942922679322,0.026451259108715597,0.5820230689737511,0.4263306557062754,0.9985735007953371,False
Muscle_Temp2_°C_,alpha-D-Glucopyranoside,Group_8C vs Group_15C (Reference),-2.9841776790987167,0.04636083154923564,-5.920225419048485,-0.04812993914894781,0.09327919595805856,-0.09562097155067928,1.7092878594897642,0.09611350024108764,0.41547620987038525,0.6873297299429191,-1.2748898196089524,0.24230243976049626,0.9985735007953371,False
Mean_Body_Temp_°C_,Indole-3-Latic_Acid,Group_8C vs Group_22C Contrast,1.0010617143493508,0.04758529956992312,0.010638596457218541,1.991484832241483,0.2918758060580715,0.1443499323201698,0.30213653557664555,0.5467986988490054,-0.8122333278841761,0.015465740804564643,0.1888283864651747,0.6173108358740884,0.9985735007953371,False
Muscle_Temp1_°C_,L-Alanine,Group_8C vs Group_15C (Reference),-4.264875556217744,0.04833909348984331,-8.498621199601258,-0.0311299128342295,0.22589274027801187,0.06462039450259771,2.250882822716205,0.07953779111854425,-1.1801082406688699,0.6657974347609166,-2.0139927335015386,0.24633870007838476,0.9985735007953371,False
Muscle_Temp2_°C_,"Ethanolamine,_2TMS",Group_8C vs Group_15C (Reference),4.581488530895314,0.0484880948995614,0.03042203020557821,9.13255503158505,0.24240059618553278,0.08456738705751887,-2.85498210945393,0.03881605308013843,-2.5806785370769467,0.24142351931236172,1.7265064214413837,0.3548681379741332,0.9985735007953371,False
Mean_Body_Temp_°C_,2-Keto-3-methylvaleric_acid,Group_8C vs Group_22C Contrast,4.252299845888851,0.05012281511827838,-0.0023566102030301295,8.506956301980733,0.2975434853509653,0.15119837813241643,3.136527753843528,0.20322515027548393,-4.27516686922731,0.0007397731592992951,-0.022867023338459358,0.9896493397515684,0.9985735007953371,False
Muscle_Temp1_°C_,"1,5-Anhydrohexitol",Group_8C vs Group_15C (Reference),4.722923424103498,0.05108274806305996,-0.022225140465423898,9.46807198867242,0.3590164586760075,0.22547822090017577,-2.7343836272903506,0.0500981073559717,0.2737126908964429,0.7128882205792026,1.9885397968131473,0.31479555297134043,0.9985735007953371,False
Mean_Skin_Temp_°C_,Methionine,Group_8C vs Group_22C Contrast,2.398820641959548,0.05135940494449417,-0.014201707086718862,4.811842991005815,0.5607276946727134,0.46921263106286215,0.08789807862978495,0.8112072281444558,-2.0793674039893606,0.05732997206713053,0.3194532379701874,0.5716404076427593,0.9985735007953371,False
Muscle_Temp3_°C_,Linoleic_Acid,Group_8C vs Group_22C Contrast,4.010945383702516,0.052325137904191986,-0.04041214468253784,8.06230291208757,0.2954186806357033,0.14863090576814153,2.8248209425531545,0.19258051052888525,-2.6066635809503804,0.05168569057896133,1.4042818027521364,0.3723345804425211,0.9985735007953371,False
Muscle_Temp3_°C_,Indole-3-Propionic_Acid,Group_8C vs Group_22C Contrast,-1.0768105403278523,0.0526996765496889,-2.166196979343254,0.012575898687549047,0.2775497342183162,0.12703926218046546,-0.6273669006863449,0.04375426318744803,1.027402932419156,0.06250382611101535,-0.04940760790869614,0.47110474556915083,0.9985735007953371,False
Muscle_Temp1_°C_,Cysteine,Group_8C vs Group_15C (Reference),-1.2536747080949464,0.05522938094835816,-2.535401887397955,0.02805247120806209,0.12728588866279722,-0.05452955119911995,0.607667205048497,0.06058656757930113,-0.042512996848814044,0.9765913726719007,-0.6460075030464494,0.2555200242359179,0.9985735007953371,False
Muscle_Temp3_°C_,D---Ribofuranose,Group_8C vs Group_15C (Reference),-3.542868344047466,0.055276591398191625,-7.165714713341165,0.07997802524623365,0.1746836274936997,0.0027427165548872257,2.735205221005125,0.07633491265819489,-1.3885145353045738,0.6957915186651484,-0.807663123042341,0.4272673797174362,0.9985735007953371,False
Muscle_Temp3_°C_,Glycerol-3-P,Group_8C vs Group_15C (Reference),-2.44922903482385,0.0564037733490614,-4.965290420237788,0.0668323505900883,0.22655100764418235,0.06541580090338706,1.4116696955788546,0.20059350729806757,-1.7739192642871602,0.24812893294719496,-1.0375593392449953,0.11416933299630228,0.9985735007953371,False
Muscle_Temp1_°C_,"1,5-Anhydrohexitol",Group_22C vs Group_15C (Reference),3.0080963181867935,0.05717212801425203,-0.09168471540384093,6.107877351777428,0.3590164586760075,0.22547822090017577,-2.7343836272903506,0.0500981073559717,0.2737126908964429,0.7128882205792026,1.9885397968131473,0.31479555297134043,0.9985735007953371,False
Mean_Skin_Temp_°C_,"R*,R*-2,3-Dihydroxybutanoic_acid",Group_8C vs Group_15C (Reference),-3.1134638019853242,0.05825023597864455,-6.335686184915646,0.10875858094499735,0.3551535195670258,0.22081050281015624,2.8591146136769416,0.026503569098079625,-1.9397548508894356,0.28301800259036725,-0.2543491883083826,0.8032549140596803,0.9985735007953371,False
Core_Temp_°C_,L-Aspartic_acid,Group_22C vs Group_15C (Reference),-9.734335020282142,0.05917700548553261,-19.845728681220972,0.3770586406566885,0.21662023398964125,0.05341611607081653,4.600453976284294,0.27737919961689494,-5.133881043997848,0.08136766502706205,2.9101814471137684,0.47012796921374145,0.9985735007953371,False
Muscle_Temp1_°C_,DL-Ornithine,Group_8C vs Group_15C (Reference),-1.3735130520410046,0.05945143923054212,-2.8017701334306384,0.054744029348628986,0.20963682388182026,0.04497782885719959,0.6491590985270289,0.17708009795295876,0.18259032115746665,0.4550265550780288,-0.7243539535139757,0.18581174163401948,0.9985735007953371,False
Muscle_Temp2_°C_,Asparagine,Group_8C vs Group_22C Contrast,3.6193108515345984,0.05991389445383321,-0.15115184034062468,7.389773543409822,0.2736586931987828,0.12233758761519586,2.5846167530875173,0.26478961967572834,-1.0741379628538672,0.2565884776602796,2.545172888680731,0.12853873908213131,0.9985735007953371,False
Mean_Skin_Temp_°C_,Methionine,Group_22C vs Group_15C (Reference),-2.1672654826191455,0.06041526986165461,-4.429419967052458,0.09488900181416682,0.5607276946727134,0.46921263106286215,0.08789807862978495,0.8112072281444558,-2.0793674039893606,0.05732997206713053,0.3194532379701874,0.5716404076427593,0.9985735007953371,False
