Pathway name,#Entities total,Expected_Hits,#Entities found,Raw p,Holm p,Entities FDR
Signal Transduction,360,0.295,2,0.0295,1,0.613
Methylation,37,0.0304,1,0.03,1,0.613
Regulation of insulin secretion,37,0.0304,1,0.03,1,0.613
Methionine Metabolism,37,0.0304,1,0.03,1,0.613
Cystathionine Beta-Synthase Deficiency,37,0.0304,1,0.03,1,0.613
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,37,0.0304,1,0.03,1,0.613
Methionine Adenosyltransferase Deficiency,37,0.0304,1,0.03,1,0.613
Glycine N-methyltransferase Deficiency,37,0.0304,1,0.03,1,0.613
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),37,0.0304,1,0.03,1,0.613
Hypermethioninemia,37,0.0304,1,0.03,1,0.613
"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",37,0.0304,1,0.03,1,0.613
Leigh Syndrome,38,0.0312,1,0.0308,1,0.613
Pyruvate Dehydrogenase Complex Deficiency,38,0.0312,1,0.0308,1,0.613
Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),38,0.0312,1,0.0308,1,0.613
"Primary hyperoxaluria II, PH2",38,0.0312,1,0.0308,1,0.613
Pyruvate kinase deficiency,38,0.0312,1,0.0308,1,0.613
Metabolic reprogramming in colon cancer,38,0.0312,1,0.0308,1,0.613
Cysteine and methionine catabolism,39,0.032,1,0.0316,1,0.625
Ferroptosis,40,0.0328,1,0.0324,1,0.634
Pyruvate metabolism,40,0.0328,1,0.0324,1,0.634
Pyruvate metabolism,44,0.0361,1,0.0356,1,0.688
Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,44,0.0361,1,0.0356,1,0.688
Integration of energy metabolism,46,0.0377,1,0.0372,1,0.711
Metabolism of fat-soluble vitamins,46,0.0377,1,0.0372,1,0.711
Neurotransmitter release cycle,47,0.0386,1,0.038,1,0.718
Nicotinamide salvaging,47,0.0386,1,0.038,1,0.718
Methionine de novo and salvage pathway,48,0.0394,1,0.0388,1,0.73
Warburg Effect,49,0.0402,1,0.0396,1,0.731
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),50,0.041,1,0.0404,1,0.731
Non Ketotic Hyperglycinemia,50,0.041,1,0.0404,1,0.731
Dimethylglycine Dehydrogenase Deficiency,50,0.041,1,0.0404,1,0.731
Sarcosinemia,50,0.041,1,0.0404,1,0.731
"Hyperglycinemia, non-ketotic",50,0.041,1,0.0404,1,0.731
3-Phosphoglycerate dehydrogenase deficiency,50,0.041,1,0.0404,1,0.731
Methionine Metabolism,51,0.0418,1,0.0412,1,0.742
Metabolic disorders of biological oxidation enzymes,52,0.0427,1,0.042,1,0.752
Peptide hormone metabolism,57,0.0468,1,0.046,1,0.815
"Glycine, serine and threonine metabolism",57,0.0468,1,0.046,1,0.815
Olfactory Signaling Pathway,58,0.0476,1,0.0468,1,0.816
Metabolism of cofactors,58,0.0476,1,0.0468,1,0.816
Purine metabolism and related disorders,58,0.0476,1,0.0468,1,0.816
Nicotinate metabolism,59,0.0484,1,0.0475,1,0.826
Vitamin B12 metabolism,60,0.0492,1,0.0483,1,0.831
"Trans-sulfuration, one-carbon metabolism and related pathways",60,0.0492,1,0.0483,1,0.831
G alpha (q) signalling events,64,0.0525,1,0.0515,1,0.881
"Transport of vitamins, nucleosides, and related molecules",65,0.0533,1,0.0523,1,0.885
Folate metabolism,65,0.0533,1,0.0523,1,0.885
Sulfur amino acid metabolism,66,0.0541,1,0.0531,1,0.894
Transmission across Chemical Synapses,78,0.064,1,0.0625,1,1
Neuronal System,78,0.064,1,0.0625,1,1
tRNA modification in the nucleus and cytosol,79,0.0648,1,0.0633,1,1
tRNA processing,86,0.0705,1,0.0687,1,1
Metabolic epileptic disorders,91,0.0747,1,0.0726,1,1
G alpha (i) signalling events,109,0.0894,1,0.0865,1,1
Metabolism of RNA,110,0.0902,1,0.0873,1,1
Selenium micronutrient network,111,0.0911,1,0.088,1,1
Drug ADME,113,0.0927,1,0.0896,1,1
Mitochondrial beta-oxidation,139,0.114,1,0.109,1,1
Phase II - Conjugation of compounds,149,0.122,1,0.117,1,1
Post-translational protein modification,194,0.159,1,0.15,1,1
ADHD and autism (ASD) pathways,214,0.176,1,0.164,1,1
Biological oxidations,322,0.264,1,0.239,1,1
